Symbol,GPA
0200434D,2.9
0200435C,3.2
0200435D,3.2
0200436C,1.95
0200436D,1.95
0200437C,1.35
0200437D,1.35
0200438C,1.5
0200438D,1.5
0200439C,2.2
0200439D,2.2
0200440C,2.65
0200440D,2.65
0200441C,2.45
0200441D,2.45
0200442C,1.75
0200442D,1.75
0200443C,1.2
0200443D,1.2
0200444C,1.5
0200444D,1.5
0200445C,2.85
0200445D,2.85
0200446C,2.2
0200446D,2.2
0200447C,2.3
0200447D,2.3
0200448C,2.4
0200448D,2.4
0200449C,2.0
0200449D,2.0
0200450C,1.8
0200450D,1.8
0200451C,2.1
0200451D,2.1
0200452C,1.9
0200452D,1.9
0200453C,2.0
0200453D,2.0
0200454C,1.65
0200454D,1.65
0200455C,2.2
0200455D,2.2
0200456C,2.55
0200456D,2.55
0200457C,2.15
0200457D,2.15
0200458C,3.0
0200458D,3.0
0200459C,3.5
0200459D,3.5
0200461C,2.2
0200461D,2.2
0200462C,3.6
0200462D,3.6
0200463C,1.9
0200463D,1.9
0200464C,1.85
0200464D,1.85
0200467C,2.4
0200467D,2.4
0200468C,2.65
0200468D,2.65
0200469C,2.5
0200469D,2.5
0200470C,2.65
0200470D,2.65
0200471C,1.35
0200471D,1.35
0200472C,3.1
0200472D,3.1
0200473C,1.95
0200473D,1.95
0200474C,2.35
0200474D,2.35
0200475C,1.85
0200475D,1.85
0200477C,2.95
0200477D,2.95
0200478C,2.55
0200478D,2.55
0200479C,2.6
0200479D,2.6
0200480C,3.05
0200480D,3.05
0200481C,2.35
0200481D,2.35
0200482C,2.6
0200482D,2.6
0200483C,2.8
0200483D,2.8
0200484C,1.7
0200484D,1.7
0200485C,1.65
0200485D,1.65
0200486C,2.05
0200486D,2.05
0200487C,1.65
0200487D,1.65
0200488C,2.35
0200488D,2.35
0200489C,2.05
0200489D,2.05
0200490C,1.9
0200490D,1.9
0200491C,1.65
0200491D,1.65
0200492C,2.25
0200492D,2.25
0200493C,2.1
0200493D,2.1
0200495C,1.4
0200495D,1.4
0200496C,3.35
0200496D,3.35
0200498C,2.1
0200498D,2.1
0200499C,1.3
0200499D,1.3
0200500C,1.4
0200500D,1.4
0200501C,1.2
0200501D,1.2
0200503C,1.95
0200503D,1.95
0200504C,1.35
